dataset,depth,split,method,restricted_class,beta_p,gap,time,gamma,train_acc,test_acc,train_prec,test_prec
blsc,4,3,FlowOCT,0,0.94,0.996035386,3600.237519,0,0.744,0.701,0.964,0.824
blsc,4,3,FlowOCT,0,0.95,0.995425435,3600.12781,0,0.744,0.701,0.964,0.824
blsc,4,3,FlowOCT,0,0.96,0.995425435,3600.270383,0,0.744,0.701,0.964,0.824
blsc,4,3,FlowOCT,0,0.97,0.995954693,3600.262317,0,0.709,0.694,0.975,0.902
blsc,4,4,FlowOCT,0,0.88,0.967741936,3600.309255,0,0.759,0.713,0.892,0.787
blsc,4,4,FlowOCT,0,0.89,0.957627119,3600.142867,0,0.771,0.707,0.896,0.767
blsc,4,4,FlowOCT,0,0.9,0.962406015,3600.212531,0,0.737,0.682,0.901,0.750
blsc,4,4,FlowOCT,0,0.91,0.962686567,3600.321071,0,0.735,0.682,0.913,0.750
blsc,4,4,FlowOCT,0,0.92,0.96350365,3600.430333,0,0.729,0.688,0.923,0.782
blsc,4,4,FlowOCT,0,0.93,0.962686567,3600.153809,0,0.737,0.688,0.931,0.867
blsc,4,4,FlowOCT,0,0.94,0.968152866,3600.23889,0,0.690,0.631,0.941,0.762
blsc,4,4,FlowOCT,0,0.95,0.97260274,3600.157975,0,0.709,0.682,0.959,0.844
blsc,4,4,FlowOCT,0,0.96,0.967532468,3600.286351,0,0.699,0.650,0.966,0.842
blsc,4,4,FlowOCT,0,0.97,0.967320261,3600.279994,0,0.701,0.656,0.974,0.800
blsc,2,1,C-BinOCT,0,0.88,0,3.991219997,0,0.596,0.592,0.893,0.880
blsc,2,1,C-BinOCT,0,0.89,0,3.227838993,0,0.596,0.592,0.893,0.880
blsc,2,1,C-BinOCT,0,0.9,0,2.58275795,0,0.588,0.599,0.900,0.833
blsc,2,1,C-BinOCT,0,0.91,0,3.159475088,0,0.564,0.573,0.926,0.905
blsc,2,1,C-BinOCT,0,0.92,0,2.637001038,0,0.564,0.573,0.926,0.905
blsc,2,1,C-BinOCT,0,0.93,0,3.058478117,0,0.536,0.529,0.947,0.917
blsc,2,1,C-BinOCT,0,0.94,0,4.236819983,0,0.536,0.529,0.947,0.917
blsc,2,1,C-BinOCT,0,0.95,0,3.124668121,0,0.534,0.529,0.971,0.800
blsc,2,1,C-BinOCT,0,0.96,0,4.309234858,0,0.534,0.529,0.971,0.800
blsc,2,1,C-BinOCT,0,0.97,0,2.557641983,0,0.534,0.529,0.971,0.800
blsc,2,2,C-BinOCT,0,0.88,0,2.709949017,0,0.594,0.567,0.903,0.786
blsc,2,2,C-BinOCT,0,0.89,0,3.402509928,0,0.594,0.567,0.903,0.786
